Assault,Robbery,Rape,Murder,Theft,Vehicle Theft,Burglary,Arson,Kidnapping,Drug Crimes,Vandalism,Identity Theft,Animal Cruelty,Total Violent Crime,Total Violent Crime Grade,Total Property Crime,Total Property Crime Grade,Total “Other” Rate,Total “Other” Rate Grade,Total Crime,Total Crime Grade,Zipcode,City
0.3893,0.0751,0.3315,0.0451,3.027,0.7065,3.127,0.011,0.2651,0.433,3.829,1.514,0.0063,0.841,A,6.872,A,6.047,B,13.76,A,16820,aaronsburg-pa
3.3,0.7257,0.4133,0.0609,10.81,0.5586,9.105,0.0689,0.1354,5.078,17.12,0.7516,0.1409,4.5,D,20.55,D,23.23,D,48.28,D,36310,abbeville-al
6.971,1.845,0.2616,0.0273,81.18,1.965,7.039,0.173,0.6977,10.77,1.868,0.7889,0.0174,9.105,F,90.36,F,14.14,D,113.605,F,31001,abbeville-ga
2.364,0.621,0.4421,0.0807,57.74,2.536,8.456,0.1083,0.1282,1.916,6.494,0.8652,0.0222,3.508,C,68.84,F,9.426,C,81.774,F,70510,abbeville-la
2.364,0.621,0.4421,0.0807,57.74,2.536,8.456,0.1083,0.1282,1.916,6.494,0.8652,0.0222,3.508,C,68.84,F,9.426,C,81.774,F,70511,abbeville-la
0.5765,0.1602,0.1664,0.077,15.85,0.3878,6.642,0.2263,0.0925,8.778,1.435,0.8874,0.2592,0.9801,A,23.1,D,11.45,C,35.530100000000004,C-,38601,abbeville-ms
3.832,0.5468,0.4926,0.0611,19.09,2.414,6.367,0.0549,0.1993,1.405,5.3,0.612,0.0304,4.933,D,27.93,D,7.547,B,40.41,D+,29620,abbeville-sc
0.0249,0.694,0.3188,0.0151,11.43,0.7051,3.792,0.0451,0.1427,0.1344,2.751,1.361,0.0247,1.053,A,15.97,C,4.413,A,21.436,B,04406,abbot-me
1.019,0.0573,0.3762,0.0153,8.299,1.591,3.86,0.0032,0.1401,9.823,7.968,0.9583,0.0229,1.468,A,13.75,C,18.91,D,34.128,C-,54405,abbotsford-wi
1.542,0.537,0.3152,0.0453,6.2,0.4251,1.239,0.0115,0.023,0.4629,0.5375,1.515,0.0026,2.44,C,7.876,A,2.541,A,12.857000000000001,A,17301,abbottstown-pa
1.724,0.0568,0.5604,0.0313,6.005,0.4361,3.735,0.203,0.0287,1.919,3.353,0.5991,0.3245,2.372,B,10.38,B,6.224,B,18.976,B+,76621,abbott-tx
2.027,0.092,0.5398,0.0363,16.25,0.7994,4.481,0.077,0.1086,0.5339,6.143,0.7262,0.0195,2.695,C,21.61,D,7.532,B,31.837,C-,67510,abbyville-ks
1.564,0.0788,0.3184,0.1154,6.419,1.153,2.833,0.0197,0.0357,5.327,6.977,1.088,0.0095,2.076,B,10.43,B,13.44,D,25.945999999999998,C+,20606,abell-md
0.2909,0.0208,0.4749,0.0227,2.446,0.518,4.872,0.0854,0.0539,0.1708,12.82,1.135,0.0505,0.8094,A,7.921,A,14.23,D,22.9604,B-,58001,abercrombie-nd
2.234,0.3009,0.4554,0.0113,16.89,1.021,4.937,0.0353,0.1649,0.5654,14.82,1.101,0.0484,3.001,C,22.89,D,16.7,D,42.591,D,83210,aberdeen-id
0.3659,0.1633,0.4038,0.0442,12.41,1.798,7.2,0.0917,0.4338,2.267,4.537,0.7443,0.0106,0.9772,A,21.5,D,7.992,C,30.4692,C,42201,aberdeen-ky
2.025,0.8201,0.3231,0.0499,24.0,1.214,3.093,0.0185,0.0445,1.52,3.813,1.275,0.0117,3.218,C,28.33,D,6.663,B,38.211,D+,21001,aberdeen-md
1.168,0.1475,0.1795,0.0297,12.02,0.5619,9.063,0.1082,0.2657,3.644,6.451,0.8528,0.0447,1.524,A,21.75,D,11.26,C,34.534,C-,39730,aberdeen-ms
1.568,0.4529,0.2528,0.0484,9.125,2.309,5.785,0.04,0.0483,1.065,2.858,0.8323,0.0195,2.323,B,17.26,C,4.823,A,24.406000000000002,B-,28315,aberdeen-nc
1.511,0.4728,0.4583,0.0198,20.14,3.375,5.103,0.0744,0.0864,0.9925,4.188,0.7927,0.1519,2.462,C,28.7,D,6.211,B,37.373,D+,45101,aberdeen-oh
7.552,1.331,0.3228,0.1684,67.81,2.008,12.66,0.0827,0.1029,1.499,3.776,1.474,0.0326,9.374,F,82.56,F,6.884,B,98.818,F,21005,aberdeen-proving-ground-md
2.697,0.0441,0.5895,0.0047,5.035,0.3135,3.104,0.0113,0.0363,3.847,8.016,1.066,0.0371,3.335,C,8.464,B,13.0,D,24.799,B-,57401,aberdeen-sd
2.697,0.0441,0.5895,0.0047,5.035,0.3135,3.104,0.0113,0.0363,3.847,8.016,1.066,0.0371,3.335,C,8.464,B,13.0,D,24.799,B-,57402,aberdeen-sd
3.547,1.104,0.5049,0.0273,15.18,0.9128,11.47,0.1417,0.0727,3.579,10.46,1.47,0.1121,5.183,D,27.71,D,15.7,D,48.593,D,98520,aberdeen-wa
1.248,0.8413,0.3845,0.1313,11.3,0.3691,2.456,0.1233,0.0959,0.4272,0.9582,0.7438,0.0002,2.605,C,14.25,C,2.225,A,19.080000000000002,B+,35440,abernant-al
1.801,0.2069,0.4886,0.0446,7.526,0.3549,6.213,0.1225,0.0403,2.102,2.468,0.6072,0.0339,2.541,C,14.22,C,5.251,A,22.012,B,79311,abernathy-tx
0.2114,0.5548,0.6634,0.0306,3.516,1.092,4.84,0.0302,0.0798,1.493,4.98,1.242,0.0275,1.46,A,9.478,B,7.822,B,18.759999999999998,B+,68001,abie-ne
3.505,0.667,0.5238,0.0332,10.17,1.266,7.288,0.0694,0.2914,1.62,6.747,0.8631,0.048,4.729,D,18.8,D,9.57,C,33.099000000000004,C-,67410,abilene-ks
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79601,abilene-tx
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79602,abilene-tx
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79603,abilene-tx
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79604,abilene-tx
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79605,abilene-tx
3.223,0.9117,0.5292,0.035,13.0,0.4087,11.48,0.2095,0.1094,5.623,27.1,0.6584,0.0312,4.699,D,25.1,D,33.52,F,63.319,D-,79606,abilene-tx
